Название,Капитализация,Сектор,P/E,P/FCF,P/BV,P/S,EV/EBITDA,EV/S,EV/EBIT,"Див-д, частота",Debt/EBITDA,ROE,ROA,Оп. рент.,День,Неделя,Месяц,Квартал,Год
Селигдар,787.8165,15,7.41,9.66,2.31,1.67,5.94,2.77,9.56,2,2.41,31.35,9.89,32.34,-5.74,20.73,27.97,31.93,35.02
Селигдар,787.8165,15,7.41,9.66,2.31,1.67,5.94,2.77,9.56,2,2.41,31.35,9.89,32.34,-4.17,23.50,31.83,34.10,65.30
RUSAL plc,15855.1008,15,5.47,29.69,1.70,1.59,10.14,2.00,5.07,0,4.00,31.06,14.17,13.27,-0.39,8.26,5.04,52.29,131.38
М.видео,1500.5212,25,10.67,1001.42,3.21,0.24,3.50,0.38,6.78,2,1.37,30.05,2.53,6.07,0.03,6.94,-1.27,-1.68,-12.08
Ашинский метзавод,150.7460,15,3.34,2.93,0.93,0.35,2.11,0.37,2.44,0,0.87,27.84,15.65,14.99,-1.74,-3.42,21.88,77.42,376.19
Инград,791.0414,60,33.39,-1.55,8.68,0.86,15.53,2.45,16.15,1,11.10,25.96,0.95,0,-0.78,1.60,2.50,-0.64,51.25
Светофор,24.4535,25,27.53,-166.40,7.13,5.68,14.67,5.95,21.98,0,1.76,25.90,13.62,27.08,0.00,1.00,-2.58,-6.46,0.00
Казаньоргсинтез,2621.6392,15,10.02,23.41,2.57,2.26,6.95,2.25,7.92,2,0.03,25.65,22.76,28.72,-3.14,-3.85,-11.78,2.75,34.02
Казаньоргсинтез,2621.6392,15,10.02,23.41,2.57,2.26,6.95,2.25,7.92,2,0.03,25.65,22.76,28.72,0.00,0.86,-10.71,-7.44,179.56
Черкизово,1828.7656,30,6.54,21.54,1.67,0.94,7.51,1.45,8.81,2,2.88,25.44,11.01,15.95,1.47,10.24,3.61,43.98,76.14
ВХЗ,5.4945,15,4.54,-4.25,1.06,0.13,2.31,0.12,2.64,0,0.00,23.34,7.14,4.62,0.19,-2.50,7.47,18.65,47.60
Магнит,8967.4270,30,15.71,7.15,3.59,0.40,4.25,0.49,8.32,2,1.43,22.84,4.02,0,-1.15,2.57,17.78,18.18,32.33
БестЭфБ ао,82.7025,40,20.61,1.09,4.51,2.34,,,,0,,21.88,2.42,,-1.39,-10.13,-24.47,66.41,77.50
Куйбазот,1304.0228,15,10.95,0.00,2.34,1.46,7.48,1.72,8.5,1,1.51,21.70,11.77,17.9,-2.54,-0.35,1.89,47.41,163.97
Куйбазот,1304.0228,15,10.95,0.00,2.34,1.46,7.48,1.72,8.5,1,1.51,21.70,11.77,17.9,-1.24,2.88,6.98,51.35,174.04
Сбербанк,117170.9069,40,7.72,18.98,1.66,3.29,,,,1,,21.44,2.91,,-0.05,3.02,11.77,22.91,77.30
Сбербанк,117170.9069,40,7.72,18.98,1.66,3.29,,,,1,,21.44,2.91,,-0.28,4.58,17.75,28.13,98.21
Сбербанк,117170.9069,40,7.72,18.98,1.66,3.29,,,,1,,21.44,2.91,,0.27,3.99,15.70,25.02,84.75
Распадская,4170.6595,10,16.15,17.54,3.34,4.38,9.43,4.56,12.61,2,0.87,20.72,11.05,36.18,-4.06,14.99,10.37,83.88,278.32
МосБиржа,5675.2868,40,15.72,3.10,3.22,8.10,,,,1,,20.50,0.44,,-0.80,4.39,-1.70,6.00,22.21
Нижнекамскнефтехим,3279.7091,15,7.49,-14.61,1.45,1.16,6.88,1.55,8,2,2.26,19.51,10.74,20.99,-1.27,-0.13,-12.03,32.63,41.30
Нижнекамскнефтехим,3279.7091,15,7.49,-14.61,1.45,1.16,6.88,1.55,8,2,2.26,19.51,10.74,20.99,-2.38,-0.15,-12.80,12.99,53.89
Segezha Group,2234.2832,15,19.50,-251.27,3.57,2.02,9.31,2.38,13.68,0,2.44,18.32,6.67,22.2,5.92,18.12,17.49,39.99,0.00
Телеграф,37.9818,50,20.44,-2.53,3.57,1.73,10.28,1.79,30.23,1,0.32,17.28,9.62,5.9,0.29,0.59,-3.13,-4.21,-17.33
Телеграф,37.9818,50,20.44,-2.53,3.57,1.73,10.28,1.79,30.23,1,0.32,17.28,9.62,5.9,0.61,3.80,-3.72,-6.99,-29.81
Татнефть,18062.0753,10,8.60,11.52,1.47,1.38,5.12,1.38,6.94,2,0.13,17.07,11.06,21.12,-1.13,0.58,15.57,9.44,28.31
Татнефть,18062.0753,10,8.60,11.52,1.47,1.38,5.12,1.38,6.94,2,0.13,17.07,11.06,21.12,-1.24,-0.06,14.27,6.87,20.72
ТНСэнМарЭл,30.5672,55,11.52,3.91,1.93,0.29,8.03,0.35,9.85,0,1.62,16.77,7.90,3.58,2.56,13.21,12.15,8.11,0.84
ТНСэнМарЭл,30.5672,55,11.52,3.91,1.93,0.29,8.03,0.35,9.85,0,1.62,16.77,7.90,3.58,9.55,22.86,24.64,19.44,43.33
ЛСР,1069.8898,60,5.14,-3.07,0.83,0.62,3.54,0.90,4.07,1,4.07,16.18,4.85,22.02,0.16,0.03,-1.56,-2.00,-12.37
ЧМК,266.4495,15,1.83,0.00,0.30,0.14,21.69,1.60,21.69,0,19.87,16.15,3.45,10.28,-2.78,5.06,8.21,59.22,149.69
КузнецкийБ,7.2697,40,5.55,2.32,0.88,0.63,,,,1,,15.81,1.44,,-2.04,1.78,1.16,-4.16,70.41
БСП,568.3147,40,2.85,-1.24,0.44,1.06,,,,2,,15.44,1.97,,-0.24,2.00,-7.05,-3.99,0.00
БСП,568.3147,40,2.85,-1.24,0.44,1.06,,,,2,,15.44,1.97,,-0.73,11.78,14.00,27.51,105.42
МГТС,2572.9990,50,13.14,17.45,2.01,4.55,7.19,4.49,11.09,0,0.05,15.35,10.96,39.88,-0.24,-0.72,1.46,-3.70,-3.93
МГТС,2572.9990,50,13.14,17.45,2.01,4.55,7.19,4.49,11.09,0,0.05,15.35,10.96,39.88,-0.14,0.15,-1.85,-4.31,-27.32
Абрау Дюрсо,264.7201,30,12.66,20.57,1.92,1.78,10.11,2.37,11.25,2,2.62,15.14,7.76,21.04,-0.25,0.77,1.55,-2.24,-2.00
